企业利润,平台利润,消费者总效益,flag
8276.94,1924.71,37332.03,0
3143.87,4317.42,58237.28,0
5610.65,3802.69,51594.67,0
6969.53,3211.05,50296.72,0
7189.62,3957.58,25932.35,0
5734.13,1678.12,51294.56,0
7481.58,1914.25,26752.12,1
11276.67,1824.37,38016.13,0
8506.8,2025.53,45623.49,0
7218.52,1907.7,49129.99,0
10509.92,1849.94,36989.17,0
6054.36,4005.76,52253.58,0
9690.28,2725.7,44633.13,0
8268.3,2053.13,43973.48,0
7872.79,2610.25,43390.7,0
8414.57,2407.42,53184.23,0
9369.72,2612.67,24785.08,0
9608.74,2303.52,42923.64,0
11026.06,1737.98,34940.42,0
5733.18,5929.4,30350.11,0
6470.13,2466.13,38627.39,0
6039.1,1807.05,51692.27,0
7970.6,3091.75,50267.69,0
9882.27,2104.4,37136.02,0
8010.36,1882.24,50187.35,0
9410.14,2055.68,40623.63,0
10222.97,3110.02,35075.98,0
6828.71,2429.65,46433.51,0
2214.64,3284.72,34926.02,1
5269.37,1898.04,56724.4,0
9003.12,2784.17,28795.41,0
8435.3,2506.04,34929.94,0
5876.14,2895.36,33046.78,0
7916.84,2308.04,42754.93,0
9183.25,2060.26,38633.12,0
1553.03,4016.16,55722.31,1
4537.01,6408.66,40718.33,0
7448.95,1795.53,26866.28,1
6448.57,3140.73,42454.39,0
6241.79,2729.82,27138.56,1
5368.42,5104.13,29086.85,0
8023.5,1923.06,31683.95,0
1795.46,4163.38,63107.63,0
2989.87,3103.9,42298.44,0
7654.53,1883.42,53696.22,0
6556.58,2388.56,33873.68,0
9898.82,1799.89,30539.18,0
7777.97,2278.1,27039.11,0
6879.62,2234.82,50850.12,0
7530.77,2282.41,55719.7,0
8340.43,2351.66,53587.49,0
6681.02,1823.59,30621.73,0
6283.88,1659.43,29905.01,1
2984.39,3351.47,38157.04,0
9211.68,1749.36,45975.93,0
1602.17,2367.76,67475.25,0
5665.86,2354.63,40385.4,0
3605.38,4520.11,32551.22,0
3813.17,2700.16,31793.39,1
6891.31,1908.03,28129.21,1
8405.54,1860.21,37414.8,0
3878.63,5055.49,33969.88,0
7607.4,2184.16,36264.46,0
11143.54,2310.21,48238.2,0
8229.87,2392.9,30186.41,0
6392.61,2479.25,29654.82,0
7554.77,2006.72,26789.77,0
8451.52,3240.72,49948.41,0
9157.62,3565.24,50335.02,0
2274.78,2613.04,45700.15,0
8861.26,2584.62,24634.58,1
6812.43,3753.82,35114.04,0
4350.29,2198.58,36354.13,0
6543.82,1872.91,33375.05,0
6190.78,1381.24,45045.8,0
5984.59,2292.52,54433.46,0
10980.03,1689.73,38926.73,0
7366.77,4388.38,39328.87,0
8662.83,1948.69,41184.23,0
10264.19,2105.53,45152.46,0
8380.51,4254.4,45798.08,0
9332.21,1850.64,37930.63,0
7724.11,1800.63,57339.54,0
6077.84,2402.61,30856.8,0
5215.01,2826.21,55327.79,0
9153.29,1926.85,30768.24,0
10659.9,1985.97,34096.45,0
3661.23,6727.04,37665.36,0
8816.13,1777.37,41557.21,0
8653.28,4662.28,37424.74,0
6017.8,2081.28,55981.23,0
8965.1,3202.12,35054.46,0
9678.66,1973.82,45315.73,0
10598.09,2014.52,36317.8,0
9364.7,3135.83,49826.69,0
6886.71,4225.79,36590.31,0
7155.42,2323.99,28217.18,0
7958.29,2008.46,39152.35,0
8798.76,3019.05,34603.3,0
3289.05,5195.59,39309.91,0
1945.75,4551.86,55347.98,0
9465.85,2228.63,46273.27,0
7174.93,2368.77,47948.61,0
8879.52,3909.23,41004.43,0
3945.12,5650.0,34959.62,0
2933.14,2882.01,58401.2,0
9147.83,2069.84,42268.19,0
8464.66,2922.13,32500.78,0
10892.88,1870.42,40386.92,0
