企业利润,平台利润,消费者总效益
3642.83957,4467.038527,61494.07687
9309.012943,764.6818889,61035.91044
5002.378114,7346.348029,53503.62473
3941.648575,3890.511847,61954.52624
7176.783016,3522.898184,58315.75101
4334.481697,376.0990274,70258.60843
2155.704464,3321.199591,68291.54423
11767.17603,1964.085849,40642.68574
9244.158431,155.4792389,66263.7233
8385.148533,-174.8843237,68198.19236
9822.132302,-516.3487902,57490.6188
3451.7478,6046.790988,59896.67396
11799.3881,1889.326981,46018.8191
7457.376685,6740.967494,49992.56545
4355.787931,7483.908567,51431.84808
8959.196914,691.3275717,64545.05767
5568.573533,7266.535277,41774.38188
9730.231057,4800.739503,50169.12641
7154.813598,3761.810658,57399.26529
8340.941266,-1724.965229,68893.48589
8825.506364,6090.440778,52229.15517
9648.90934,-1686.020217,66242.17755
2679.027151,4734.604414,63132.73651
7227.961123,-13.28694521,69604.37857
10918.50514,4113.710018,49182.30012
9920.637009,5491.100921,38831.7143
4116.225286,7661.253788,37973.90294
11169.21216,4042.399044,34096.03153
10795.74817,1121.692124,51076.95444
3819.101796,7569.719616,56894.49318
3228.519062,4705.821837,62127.60762
5153.540366,6544.934756,56596.44471
2608.339446,4214.073423,63426.34639
6780.272926,932.394836,67576.33301
5819.999875,5620.473031,56810.70944
1890.982186,3610.634678,65096.86728
9492.062254,89.98437208,57756.90807
6689.137959,336.2755574,69765.30326
10277.2831,1228.613154,53948.47275
9884.341197,-908.9743881,56007.70796
2592.617036,5806.978395,61618.19179
8417.458538,-1810.420281,68752.42843
11161.44811,2858.87363,45607.70943
3156.900008,6335.793798,59171.02303
5725.898359,7264.990999,50999.58913
8395.890986,-2149.173784,68867.19462
5408.680134,6441.921152,56194.27407
2439.394824,3410.326466,67376.07698
9054.331573,5877.787707,50495.22065
10326.92277,5344.612068,44226.15898
8112.539833,6516.978864,52359.91875
3659.528561,1385.569157,69853.34677
10678.40497,5189.263852,49310.18288
11956.46745,1791.964194,37613.8016
3032.826775,4685.603079,62333.15044
9300.421884,1080.718865,59136.43898
9537.210198,-2099.882422,66514.24718
3435.416326,6180.64231,59443.14669
11235.70442,3986.143854,33761.57081
5667.842225,3648.619692,58659.65337
10340.08131,4141.041794,49938.97728
7910.946681,4011.629539,53573.57832
3998.258118,7561.054683,55873.88833
5499.292902,7370.237167,42594.32059
8735.464897,3042.011456,53199.13035
11052.27482,3310.951994,45588.73199
11978.45884,1793.871159,35674.56996
10039.835,5438.750745,44257.03247
2446.897875,5000.561065,62814.18524
5754.011505,891.0985478,69996.37352
3932.885568,7673.846079,43826.56106
7622.600254,4147.338669,54556.80678
9281.470128,108.6617884,66160.41462
3531.539371,3822.808424,62470.62566
7388.158816,4267.108008,54590.92552
5437.539291,6415.392206,54912.50183
9106.719229,1604.455918,59056.96504
3554.964513,3795.232181,62753.54636
9873.618249,-1106.477715,58132.02276
9755.967959,-769.2440695,60256.06177
2943.770553,5028.047348,61339.82631
3365.585105,6577.104065,58629.36164
6354.344573,4548.215823,55425.86739
6213.175451,7075.803841,49756.44659
9407.062753,-743.9309113,66397.5614
10451.94868,2906.466564,50016.42243
5866.946998,7218.65997,41202.37161
6247.362388,6308.643739,52970.75586
5671.64088,7140.377741,52582.41296
11706.813,1968.059435,43369.22255
5971.018407,5609.108621,56026.05669
4970.606373,4249.800748,58679.71909
6187.486309,7235.396749,28368.34225
7945.832993,5744.256158,53489.81713
9699.138234,-426.8911314,57211.23518
7252.656495,6586.848557,51493.44613
9096.1464,404.8267486,66488.11644
3120.361927,6303.195523,59684.05851
10279.60265,5335.960385,48644.91338
2973.777667,4118.849008,63823.76135
4857.535162,7511.7488,43077.22166
9293.15218,-2081.631714,66763.74671
4691.820375,7177.738278,56541.05733
9757.87057,665.7845162,56288.67884
4219.459431,7560.503526,43996.12249
7023.743343,2785.926756,61589.85115
6119.767402,7221.818872,40940.5751
6418.517075,7161.629306,28296.33986
7916.708863,3965.573804,54370.09391
10209.63531,5328.942963,49443.44875
2282.401227,3920.766432,64717.86556
9406.294964,5861.956718,46320.19539
10982.98355,4080.163967,48204.35712
2403.114249,4171.566524,63917.51431
5162.958095,7327.170368,51114.43508
2026.247649,3472.263443,65052.89454
6522.56827,7080.02953,29188.08503
4475.590876,3044.081299,62534.55897
9408.703777,-1432.550981,65842.09236
3487.285468,2915.686724,64168.53772
11168.5134,4449.701243,32071.81513
8708.956744,1337.430314,64952.86759
9397.055598,3081.042994,52003.99769
3268.51933,6189.32296,59599.62622
11874.36629,1849.347809,42455.8027
9594.589568,-1467.131013,65955.62617
2007.349943,2185.367434,70562.40399
5628.204517,7394.495947,37572.34228
2245.83907,3435.399923,67287.98028
10126.39888,5413.124953,49375.11925
7899.779249,-458.5565029,69255.06325
6412.595361,7182.372386,34968.36122
5433.277086,5795.237003,56334.12745
4346.968259,6368.238445,58984.24288
10368.6279,2773.306797,51670.565
9446.025822,1456.107414,57942.5469
9427.87482,-600.0871424,60617.43657
11788.86282,1754.931887,46396.61647
10384.86158,2633.824241,50743.12454
11834.01027,2330.962584,35384.63402
11858.98043,1907.219479,42463.45227
9919.037233,488.3906074,55754.13871
11359.35312,2600.485772,47538.3725
4477.76831,7232.251784,54799.8623
3676.07147,949.7343563,70312.64115
4519.49727,7554.847125,43895.39889
10624.57511,1063.816937,52436.5631
3512.229652,3842.920699,62837.24973
5700.68433,7384.40949,37158.18482
9138.382255,472.533843,64003.27673
7692.713327,2009.480341,67392.78189
11300.55586,1778.259164,49208.62625
4855.155846,7524.997165,44151.83217
4401.648668,6186.689899,58484.33481
11273.45503,3970.580724,33828.73832
2663.483334,4777.938883,62738.29383
6734.756521,598.1484646,69689.24266
4218.767615,7529.980538,56377.54816
11044.6585,536.1416107,53748.42743
10182.98476,5359.657896,39771.48127
9862.902929,-670.4705677,57453.37967
9141.629448,-252.8203481,66812.199
1811.793832,2234.016792,70404.38294
5068.485849,7576.267554,37862.48901
11250.95189,348.5847785,51922.21931
4832.20815,7388.927478,53651.16445
3630.868776,2998.401009,62568.65471
6303.293029,6106.838774,53097.22933
8938.772031,1707.626028,60686.30041
1834.145042,2214.612136,70695.32526
5083.611956,6562.119774,56630.27314
3248.489997,4676.744313,62113.98121
2236.323701,4060.200682,64095.90874
10858.18561,581.2104897,52063.5063
5192.296527,801.8198466,70091.73098
9418.111524,1512.295023,56157.66846
